sitelen Lasina,a,akesi,ala,alasa,ale,ali,anpa,ante,anu,awen,e,en,esun,ijo,ike,ilo,insa,jaki,jan,jelo,jo,kala,kalama,kama,kasi,ken,kepeken,kili,kiwen,ko,kon,kule,kulupu,kute,la,lape,laso,lawa,len,lete,li,lili,linja,lipu,loje,lon,luka,lukin,lupa,ma,mama,mani,meli,mi,mije,moku,moli,monsi,mu,mun,musi,mute,nanpa,nasa,nasin,nena,ni,nimi,noka,o,olin,ona,open,pakala,pali,palisa,pan,pana,pi,pilin,pimeja,pini,pipi,poka,poki,pona,pu,sama,seli,selo,seme,sewi,sijelo,sike,sin,sina,sinpin,sitelen,sona,soweli,suli,suno,supa,suwi,tan,taso,tawa,telo,tenpo,toki,tomo,tu,unpa,uta,utala,walo,wan,waso,wawa,weka,wile,kin,namako,oko,epiku,jasima,kijetesantakalu,kipisi,kokosila,ku,lanpan,leko,meso,misikeke,monsuta,n,soko,tonsi,apeja,ete,ewe,isipin,kalamARR
Tencent QQ,丫,虺,"无, 不, 非",田,"凣, 凡","凣, 凡",下,异,或,止,乎,与,市,"什, 物",歹,"具, 仪, 器",内,丑,人,黄,有,"鱼, 泩","声, 音",至,木,可,用,果,石,膏,空,色,"团, 区",听,时,"眠, 困",兰,首,衣,"冰, 冷",兮,小,丝,页,丹,于,"手, 五, 又","见, 视",孔,,亲,币布,女,"吾, 我",男,食,亡,后,叫,月,乐,"々, 多",数,狂,道,击,名,击,足,令,爱,伊,开,"崩, 毁",为,笞,,"出, 予",之,以,黑,闭,虫,边,皿,善,,"同, 似",火,皮,何,"上, 天",体,丸,新,尔,垣,书,知,兽,大,日,私,甘,由,"惟, 只",向,水,"辰, 夕","言, 语",所,二,性,口,斗,白,一,鸟,力,去,欲,仍,,目,,,,,,,,,,,,,,,,,,,
sitelen munjan,吁,獸,無,狩,"全, 皆","全, 皆",下,異,若,俟,乎,及,市,物,惡,器,內,汙,人,黃,有,魚,音,來,草,能,以,果,石,膏,氣,色,眾,聽,也,寐,青,主,衣,寒,者,小,絲,葉,赤,在,手,見,穴,邦,親,金,女,吾,男,食,死,後,牟,月,樂,多,數,愚,道,山,此,名,足,於,愛,彼,開,敗,作,杖,米,施,之,感,黑,竟,蟲,傍,皿,善,經,如,溫,皮,何,上,身,圓,新,汝,壁,書,知,畜,大,日,牀,甘,由,但,于,水,時,言,家,二,媾,口,鬭,白,一,鳥,強,去,欲,亦,益,目,雄,反,鼬,切,鰐,典,取,方,央,醫,鬼,焉,菌,中,罪,超,巖,思,
jan Josan,啊,龟,不,,全,全,下,变,或,守,把,又,,事,歹,匕,内,污,人,黄,有,鱼,音,到,木,能,用,果,石,膏,气,色,组,耳,喇,觉,青,首,巾,冰,哩,小,糸,叶,红,在,手,"看, 见",孔,土,母,"元, 贝",女,我,男,菜,死,后,吽,月,玩,大,个,怪,道,山,这,名,足,令,爱,他,开,打,工,支,米,给,的,"想, 心",黑,末,虫,旁,包,好,,同,火,甲,什,上,身,回,新,你,前,画,知,"牛, 马",高,"日, 光",张,甜,从,只,去,水,时,言,穴,二,性,口,"战, 斗",白,一,鸟,力,脱,要,也,,目,,,,,,,,,,,,,,,,,,,
jan Mato (jp),あ,獣,無,探,全,全,下,变,ぬ,待,え,ん,市,物,悪,具,内,汚,人,黄,有,,音,来,木,能,使,果,石,粉,空,色,群,聞,ら,眠,青,首,布,冷,り,小,糸,葉,赤,在,手,見,穴,土,母,貝,女,私,男,食,死,後,む,月,楽,多,番,狂,道,丘,此,称,足,お,愛,彼,開,打,作,棒,米,授,ぴ,心,黒,終,虫,側,箱,良,,同,火,皮,何,上,体,丸,新,君,前,画,知,猫,大,日,面,甜,因,許,去,水,时,言,家,二,盛,口,戦,白,一,鳥,力,遥,要,又,冗,目,,,,切,,,,,,,,,,,,,,,
jan Mato (zh),啊,龟,不,,全,全,下,变,或,守,把,又,,事,歹,匕,内,"污, 汙",人,黄,有,"魚, 鱼",音,到,木,能,用,果,石,膏,气,色,组,耳,喇,觉,青,首,巾,冰,哩,小,糸,叶,红,在,手,"看, 见",孔,土,母,"元, 贝",女,我,男,菜,死,后,吽,月,玩,大,个,怪,道,山,这,名,足,令,爱,他,开,打,工,支,米,给,的,"想, 心",黑,末,虫,旁,包,好,,同,火,甲,什,上,身,回,新,你,前,画,知,"马, 牛",高,"日, 光",张,甜,从,只,去,水,时,言,穴,二,性,口,"战, 斗",白,一,鸟,力,脱,要,也,,目,,,,,,,,,,,,,,,,,,,
jan U,啊,龍,勿,集,全,全,下,差,或,等,作,與,市,物,惡,具,內,污,人,黃,有,魚,音,來,木,能,用,果,石,粉,空,色,眾,耳,則,眠,青,首,布,冷,是,小,絲,小,紅,於,手,見,,土,亲,錢,女,我,男,食,死,後,哞,月,樂,多,数,怪,道,山,此,名,足,令,愛,其,開,打,工,棒,打,予,之,心,黑,末,虫,側,包,好,,同,火,外,什,,身,圓,新,你,前,畫,知,犬,大,日,面,,因,只,去,水,时,言,室,二,盛,口,戰,白,一,鳥,力,缺,要,亦,冗,目,,,,切,,,,,,,,,,,,,,,
enervation,,,,,,,,异,,,着,和,市,物,坏,具,,,,,,,,,植,,,,,,,,,听,啦,眠,,,,冷,又,,线,"纸, 页",,,,,,,,钱,,,,食,,,"咪, 喵",,,多,"数, 第",,,,,,,"哎, 请",,,,破,作,"棍, 杖, 竿",,,,,,,,,,,,,,皮,何,,体,"圆, 圈",,,,,,,大,,,,由,,到,,,,房,,性,,斗,,,,,,,,余,,,,,,,,,,,,,,,,,,,,
jan lili,矣,蜥,非,獵,凡,凡,下,異,或,續,于,與,易,物,歹,器,中,穢,人,黃,有,魚,音,至,木,可,以,果,石,塵,空,色,合,耳,而,眠,青,首,衣,寒,則,小,絲,頁,紅,在,手,目,孔,地,祖,錢,女,吾,男,食,死,背,鳴,月,悅,衆,數,迷,道,出,此,字,足,兮,愛,其,始,損,爲,枝,穀,予,之,感,黑,終,蟲,近,容,善,經,似,火,膚,何,上,形,圓,新,汝,前,文,知,獸,大,日,案,甘,自,獨,往,水,時,言,室,二,交,口,鬥,白,一,鳥,威,遠,欲,矣,新,目,,,,,,,,,,,,,,,,,,,
StuleBackery,阿,兽,不,觅,丰 全,丰 全,下,变,又,保,向,并,店,事,歹,具,中,丑,人,黄,有,鱼,申,至,艸,可,用,果,石,尘,气,色,团,耳,以,休,青,主,布,仌,为,小,毛,片,丹,在,手,目,孔,土,守,币,女,己,男,食,死,后,声,月,乐,多,第,异,道,山,个,字,足,区,爱,其,开,改,作,条,禾,发,之,心,黑,了,虫,边,包,良,书,同,火,外,什,上,身,回,生,尔,前,画,知,畜,大,日,面,甘,因,但,于,水,时,言,居,二,合,口,竞,白,一,鸟,力,离,要,亦,加,见,,,,,,,,,,,,,,,,,,,
sitelen Sonko pona,忄,乃,乄,凥,亖,亖,丅,卝,丫,仄,冫,十,品,口,必,尸,内,亽,人,昌,冋,只,仒,們,山,历,戸,可,吕,吅,彡,早,仨,区,丿,仅,旵,佃,爪,肉,乛,丶,乀,冃,旦,亼,卌,目,門,田,囚,叉,伈,乆,仂,叵,网,凣,弓,昍,灳,三,井,㔾,八,凸,听,吝,儿,忇,怂,亻,冂,中,尺,亅,扌,叭,丨,心,昃,冄,非,双,凵,火,忟,卄,义,风,凶,丄,几,回,古,从,凡,文,眍,勿,大,日,又,炎,巛,亠,仈,川,旬,斤,囗,二,仌,匚,父,旲,一,乐,力,冈,吢,另,灬,目,,,,,,,,,,,,,,,,,,,
