"a 丫
akesi 虺
ala 无
ala 不
ala 非
alasa 田
ale 凣
ale 凡
ali 凣
ali 凡
anpa 下
ante 异
anu 或
awen 止
e 乎
en 与
esun 市
ijo 什
ijo 物
ike 歹
ilo 具
ilo 仪
ilo 器
insa 内
jaki 丑
jan 人
jelo 黄
jo 有
kala 鱼
kala 泩
kalama 声
kalama 音
kama 至
kasi 木
ken 可
kepeken 用
kili 果
kiwen 石
ko 膏
kon 空
kule 色
kulupu 团
kulupu 区
kute 听
la 时
lape 眠
lape 困
laso 兰
lawa 首
len 衣
lete 冰
lete 冷
li 兮
lili 小
linja 丝
lipu 页
loje 丹
lon 于
luka 手
luka 五
luka 又
lukin 见
lukin 视
lupa 孔
mama 亲
mani 币布
meli 女
mi 吾
mi 我
mije 男
moku 食
moli 亡
monsi 后
mu 叫
mun 月
musi 乐
mute 々
mute 多
nanpa 数
nasa 狂
nasin 道
nena 击
ni 名
nimi 击
noka 足
o 令
olin 爱
ona 伊
open 开
pakala 崩
pakala 毁
pali 为
palisa 笞
pana 出
pana 予
pi 之
pilin 以
pimeja 黑
pini 闭
pipi 虫
poka 边
poki 皿
pona 善
sama 同
sama 似
seli 火
selo 皮
seme 何
sewi 上
sewi 天
sijelo 体
sike 丸
sin 新
sina 尔
sinpin 垣
sitelen 书
sona 知
soweli 兽
suli 大
suno 日
supa 私
suwi 甘
tan 由
taso 惟
taso 只
tawa 向
telo 水
tenpo 辰
tenpo 夕
toki 言
toki 语
tomo 所
tu 二
unpa 性
uta 口
utala 斗
walo 白
wan 一
waso 鸟
wawa 力
weka 去
wile 欲
kin 仍
oko 目
---
a 吁
akesi 獸
ala 無
alasa 狩
ale 全
ale 皆
ali 全
ali 皆
anpa 下
ante 異
anu 若
awen 俟
e 乎
en 及
esun 市
ijo 物
ike 惡
ilo 器
insa 內
jaki 汙
jan 人
jelo 黃
jo 有
kala 魚
kalama 音
kama 來
kasi 草
ken 能
kepeken 以
kili 果
kiwen 石
