KeyCode=mnptkswljiueoa[]"
Length=16
Prompt=
ConstructPhrase=
[Data]
a 🅰️ 
akesi 🦎
akesi 🐸
ala ❌ 
alasa 🏹 
ale 🌌 
anpa 🧎
anpa 🙇
ante 🔀 
anu 🤷 
awen ⚓ 
e ⏩ 
en 🤝 
esun 🛒 
ijo 🐚 
ike 😔 
ike 👎 
ilo 🔦 
insa 🗳️ 
jaki 💩 
jan 🧑 
jelo 🍋 
jo 👜 
kala 🐟
kala 🐙 
kalama 👏 
kama 🛬 
kasi 🌱 
ken 💪 
kepeken ✍️ 
kili 🍎 
kiwen 💎 
ko 🍦 
kon 💨 
kule 🌈 
kulupu 👥 
kute 👂 
la ℹ️ 
la 💁 
lape 😴 
laso ☘️ 
lawa 👑 
len 🧣 
lete ❄️ 
li ▶️ 
lili 🐁 
linja 🧶 
lipu 🍁 
loje 👅 
lon ⏺️
lon ✅
lon 🫴
luka 🖐️ 
lukin 👀 
lupa 🚪 
ma 🏝️ 
mama 🍼 
mani 🐮 
meli 👩
meli 🚺
mi 👇
mi 🅿️ 
mije 👨
mije 🚹 
moku 🍜 
moli 😵 
monsi 🍑 
mu 🐽 
mun 🌙 
musi 🎭 
mute 👐 
nanpa #️⃣ 
nasa 🌀 
nasin 🛤️ 
nena 🗻 
ni ⬇️
ni ⬆️
ni ⬅️
ni ➡️ 
nimi 📛 
noka 🦵 
o 🅾️ 
olin 💕 
ona 👈
ona ♋️
open 🎬 
pakala 💥 
pali 🏗️ 
palisa 📏 
pan 🍞 
pana 🙌 
pi 📎 
pilin ❤️ 
pimeja 🎱 
pini 🏁
pini 🛑 
pipi 🐛 
poka 👯 
poki 📦 
pona 😌
pona 👍
pu 🧘 
sama ⚖️ 
seli 🔥 
selo 🍌 
seme ❓ 
sewi ☁️ 
sijelo 🧍 
sike ⭕ 
sin ✨ 
sina 👆 
sina 6️⃣ 
sinpin 🗿 
sitelen 🎨
sitelen 🖼
sona 🧠 
soweli 🦔 
suli 🐘 
suno ☀️ 
supa 🛏️ 
suwi 🍬 
tan ↩️ 
taso 🚦
taso 🚥
tawa 🛫 
telo 💧 
tenpo 🕒 
toki 💬 
tomo 🏠
tu ⏸️ 
unpa 🍆 
uta 👄 
utala ⚔️
utala 🆚
walo 🐑 
wan  1️⃣ 
waso 🐦 
wawa ⚡ 
weka 🆑 
wile 🙏 🧲
epiku 😁 
jasima 🪞 🪩
kijetesantakalu 🦡
kijetesantakalu 🦝 
kin  *️⃣ 
kipisi ✂️ 
kokosila 🐊 
ku 🔬 
lanpan 🤳 
leko 🧱 
meso 😑 
misikeke 💊 
monsuta 👻 
n 🆖 
namako 🌶️ 
oko 👁️ 
soko 🍄 
tonsi ⚧️ 
majuna 🪷
majuna 💾
majuna 🧓 
su 🧙
su 🧵
[ 🖌️
] 🖌️
